Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research
Manufacturing 1,Adaptive Frame x 3 Iron x 3 Sealant x 3 Zero Wire x 2,None,Inter-System Cargo Links Simple Fabricators Small Warehouse modules,None,Manufacturing 1,Adaptive Frame x 3 Iron x 3 Sealant x 3 Zero Wire x 2,None,Inter-System Cargo Links Simple Fabricators Small Warehouse modules,None,Manufacturing 1,Adaptive Frame x 3 Iron x 3 Sealant x 3 Zero Wire x 2,None,Inter-System Cargo Links Simple Fabricators Small Warehouse modules,None,Manufacturing 1,Adaptive Frame x 3 Iron x 3 Sealant x 3 Zero Wire x 2,None,Inter-System Cargo Links Simple Fabricators Small Warehouse modules,None,Manufacturing 1,Adaptive Frame x 3 Iron x 3 Sealant x 3 Zero Wire x 2,None,Inter-System Cargo Links Simple Fabricators Small Warehouse modules,None
Manufacturing 2,Adaptive Frame x 10 Iron x 30 Lubricant x 10 Reactive Gauge x 5 Sealant x 20 Tungsten x 20 Zero Wire x 10,Rank 1,Compound Fabricators Medium Storage modules,Manufacturing 1,Manufacturing 2,Adaptive Frame x 10 Iron x 30 Lubricant x 10 Reactive Gauge x 5 Sealant x 20 Tungsten x 20 Zero Wire x 10,Rank 1,Compound Fabricators Medium Storage modules,Manufacturing 1,Manufacturing 2,Adaptive Frame x 10 Iron x 30 Lubricant x 10 Reactive Gauge x 5 Sealant x 20 Tungsten x 20 Zero Wire x 10,Rank 1,Compound Fabricators Medium Storage modules,Manufacturing 1,Manufacturing 2,Adaptive Frame x 10 Iron x 30 Lubricant x 10 Reactive Gauge x 5 Sealant x 20 Tungsten x 20 Zero Wire x 10,Rank 1,Compound Fabricators Medium Storage modules,Manufacturing 1,Manufacturing 2,Adaptive Frame x 10 Iron x 30 Lubricant x 10 Reactive Gauge x 5 Sealant x 20 Tungsten x 20 Zero Wire x 10,Rank 1,Compound Fabricators Medium Storage modules,Manufacturing 1
Manufacturing 3,Zero Wire x 8 Reactive Gauge x 4 Positron Battery x 2 Adaptive Frame x 2 Iron x 16 Tungsten x 12 Sealant x 12 Lubricant x 4,,,Manufacturing 2,Manufacturing 3,Zero Wire x 8 Reactive Gauge x 4 Positron Battery x 2 Adaptive Frame x 2 Iron x 16 Tungsten x 12 Sealant x 12 Lubricant x 4,,,Manufacturing 2,Manufacturing 3,Zero Wire x 8 Reactive Gauge x 4 Positron Battery x 2 Adaptive Frame x 2 Iron x 16 Tungsten x 12 Sealant x 12 Lubricant x 4,,,Manufacturing 2,Manufacturing 3,Zero Wire x 8 Reactive Gauge x 4 Positron Battery x 2 Adaptive Frame x 2 Iron x 16 Tungsten x 12 Sealant x 12 Lubricant x 4,,,Manufacturing 2,Manufacturing 3,Zero Wire x 8 Reactive Gauge x 4 Positron Battery x 2 Adaptive Frame x 2 Iron x 16 Tungsten x 12 Sealant x 12 Lubricant x 4,,,Manufacturing 2
Power Generation 1,Adaptive Frame x 10 Cobalt x 10 Copper x 20 Isocentered Magnet x 8 Silver x 30 Zero Wire x 10,Rank 1,Advanced Wind Turbines,None,Power Generation 1,Adaptive Frame x 10 Cobalt x 10 Copper x 20 Isocentered Magnet x 8 Silver x 30 Zero Wire x 10,Rank 1,Advanced Wind Turbines,None,Power Generation 1,Adaptive Frame x 10 Cobalt x 10 Copper x 20 Isocentered Magnet x 8 Silver x 30 Zero Wire x 10,Rank 1,Advanced Wind Turbines,None,Power Generation 1,Adaptive Frame x 10 Cobalt x 10 Copper x 20 Isocentered Magnet x 8 Silver x 30 Zero Wire x 10,Rank 1,Advanced Wind Turbines,None,Power Generation 1,Adaptive Frame x 10 Cobalt x 10 Copper x 20 Isocentered Magnet x 8 Silver x 30 Zero Wire x 10,Rank 1,Advanced Wind Turbines,None
Power Generation 2,Zero Wire x 8 Tau Grade Rheostat x 2 Supercooled Magnet x 1 Power Circuit x 1 Caesium x 8 Beryllium x 12 Titanium x 12,,,Power Generation 2,Power Generation 2,Zero Wire x 8 Tau Grade Rheostat x 2 Supercooled Magnet x 1 Power Circuit x 1 Caesium x 8 Beryllium x 12 Titanium x 12,,,Power Generation 2,Power Generation 2,Zero Wire x 8 Tau Grade Rheostat x 2 Supercooled Magnet x 1 Power Circuit x 1 Caesium x 8 Beryllium x 12 Titanium x 12,,,Power Generation 2,Power Generation 2,Zero Wire x 8 Tau Grade Rheostat x 2 Supercooled Magnet x 1 Power Circuit x 1 Caesium x 8 Beryllium x 12 Titanium x 12,,,Power Generation 2,Power Generation 2,Zero Wire x 8 Tau Grade Rheostat x 2 Supercooled Magnet x 1 Power Circuit x 1 Caesium x 8 Beryllium x 12 Titanium x 12,,,Power Generation 2
Power Generation 3,Paramagnon Conductor x 4 Tau Grade Rheostat x 4 Isotopic Coolant x 4 Nuclear Fuel Rod x 4 Control Rod x 3 Supercooled Magnet x 2 Power Circuit x 2 Tungsten x 12 Lead x 12,Rank 3,,,Power Generation 3,Paramagnon Conductor x 4 Tau Grade Rheostat x 4 Isotopic Coolant x 4 Nuclear Fuel Rod x 4 Control Rod x 3 Supercooled Magnet x 2 Power Circuit x 2 Tungsten x 12 Lead x 12,Rank 3,,,Power Generation 3,Paramagnon Conductor x 4 Tau Grade Rheostat x 4 Isotopic Coolant x 4 Nuclear Fuel Rod x 4 Control Rod x 3 Supercooled Magnet x 2 Power Circuit x 2 Tungsten x 12 Lead x 12,Rank 3,,,Power Generation 3,Paramagnon Conductor x 4 Tau Grade Rheostat x 4 Isotopic Coolant x 4 Nuclear Fuel Rod x 4 Control Rod x 3 Supercooled Magnet x 2 Power Circuit x 2 Tungsten x 12 Lead x 12,Rank 3,,,Power Generation 3,Paramagnon Conductor x 4 Tau Grade Rheostat x 4 Isotopic Coolant x 4 Nuclear Fuel Rod x 4 Control Rod x 3 Supercooled Magnet x 2 Power Circuit x 2 Tungsten x 12 Lead x 12,Rank 3,,
Power Generation 4,Tasine Superconductor x 3 Tau Grade Rheostat x 12 Isotopic Coolant x 8 Vytinium Fuel Rod x 4 Control Rod x 4 Rothicite x 2 Power Circuit x 4 Tungsten x 16 Lead x 20,Outpost Engineering Rank 3 Special Projects Rank 1,,Power Generation 3,Power Generation 4,Tasine Superconductor x 3 Tau Grade Rheostat x 12 Isotopic Coolant x 8 Vytinium Fuel Rod x 4 Control Rod x 4 Rothicite x 2 Power Circuit x 4 Tungsten x 16 Lead x 20,Outpost Engineering Rank 3 Special Projects Rank 1,,Power Generation 3,Power Generation 4,Tasine Superconductor x 3 Tau Grade Rheostat x 12 Isotopic Coolant x 8 Vytinium Fuel Rod x 4 Control Rod x 4 Rothicite x 2 Power Circuit x 4 Tungsten x 16 Lead x 20,Outpost Engineering Rank 3 Special Projects Rank 1,,Power Generation 3,Power Generation 4,Tasine Superconductor x 3 Tau Grade Rheostat x 12 Isotopic Coolant x 8 Vytinium Fuel Rod x 4 Control Rod x 4 Rothicite x 2 Power Circuit x 4 Tungsten x 16 Lead x 20,Outpost Engineering Rank 3 Special Projects Rank 1,,Power Generation 3,Power Generation 4,Tasine Superconductor x 3 Tau Grade Rheostat x 12 Isotopic Coolant x 8 Vytinium Fuel Rod x 4 Control Rod x 4 Rothicite x 2 Power Circuit x 4 Tungsten x 16 Lead x 20,Outpost Engineering Rank 3 Special Projects Rank 1,,Power Generation 3
Resource Extraction 1,Adaptive Frame x 10 Aluminum x 30 Chlorosilanes x 10 Copper x 20 Drilling Rig x 5 Mag Pressure Tank x 8,Rank 1,Commercial Extractors,None,Resource Extraction 1,Adaptive Frame x 10 Aluminum x 30 Chlorosilanes x 10 Copper x 20 Drilling Rig x 5 Mag Pressure Tank x 8,Rank 1,Commercial Extractors,None,Resource Extraction 1,Adaptive Frame x 10 Aluminum x 30 Chlorosilanes x 10 Copper x 20 Drilling Rig x 5 Mag Pressure Tank x 8,Rank 1,Commercial Extractors,None,Resource Extraction 1,Adaptive Frame x 10 Aluminum x 30 Chlorosilanes x 10 Copper x 20 Drilling Rig x 5 Mag Pressure Tank x 8,Rank 1,Commercial Extractors,None,Resource Extraction 1,Adaptive Frame x 10 Aluminum x 30 Chlorosilanes x 10 Copper x 20 Drilling Rig x 5 Mag Pressure Tank x 8,Rank 1,Commercial Extractors,None
Resource Extraction 2,Adaptive Frame x 20 Aldumite Drilling Rig x 5 Aluminum x 40 Caesium x 20 Chlorosilanes x 20 Microsecond Regulator x 8,Rank 2,Industrial Extractors,Resource Extraction 1,Resource Extraction 2,Adaptive Frame x 20 Aldumite Drilling Rig x 5 Aluminum x 40 Caesium x 20 Chlorosilanes x 20 Microsecond Regulator x 8,Rank 2,Industrial Extractors,Resource Extraction 1,Resource Extraction 2,Adaptive Frame x 20 Aldumite Drilling Rig x 5 Aluminum x 40 Caesium x 20 Chlorosilanes x 20 Microsecond Regulator x 8,Rank 2,Industrial Extractors,Resource Extraction 1,Resource Extraction 2,Adaptive Frame x 20 Aldumite Drilling Rig x 5 Aluminum x 40 Caesium x 20 Chlorosilanes x 20 Microsecond Regulator x 8,Rank 2,Industrial Extractors,Resource Extraction 1,Resource Extraction 2,Adaptive Frame x 20 Aldumite Drilling Rig x 5 Aluminum x 40 Caesium x 20 Chlorosilanes x 20 Microsecond Regulator x 8,Rank 2,Industrial Extractors,Resource Extraction 1
Robots 1,Aluminum x 3 Beryllium x 3 Zero Wire x 2,None,Garden Mini bot Engineering Robot Sanitation Mini bot,None,Robots 1,Aluminum x 3 Beryllium x 3 Zero Wire x 2,None,Garden Mini bot Engineering Robot Sanitation Mini bot,None,Robots 1,Aluminum x 3 Beryllium x 3 Zero Wire x 2,None,Garden Mini bot Engineering Robot Sanitation Mini bot,None,Robots 1,Aluminum x 3 Beryllium x 3 Zero Wire x 2,None,Garden Mini bot Engineering Robot Sanitation Mini bot,None,Robots 1,Aluminum x 3 Beryllium x 3 Zero Wire x 2,None,Garden Mini bot Engineering Robot Sanitation Mini bot,None
Robots 2,Austenitic Manifold x 8 Chlorosilanes x 30 Cobalt x 30 Polymer x 10 Positron Battery x 8 Titanium x 30 Zero Wire x 30,Rank 1,Logistics Robot Power Management Robot,Robots 1,Robots 2,Austenitic Manifold x 8 Chlorosilanes x 30 Cobalt x 30 Polymer x 10 Positron Battery x 8 Titanium x 30 Zero Wire x 30,Rank 1,Logistics Robot Power Management Robot,Robots 1,Robots 2,Austenitic Manifold x 8 Chlorosilanes x 30 Cobalt x 30 Polymer x 10 Positron Battery x 8 Titanium x 30 Zero Wire x 30,Rank 1,Logistics Robot Power Management Robot,Robots 1,Robots 2,Austenitic Manifold x 8 Chlorosilanes x 30 Cobalt x 30 Polymer x 10 Positron Battery x 8 Titanium x 30 Zero Wire x 30,Rank 1,Logistics Robot Power Management Robot,Robots 1,Robots 2,Austenitic Manifold x 8 Chlorosilanes x 30 Cobalt x 30 Polymer x 10 Positron Battery x 8 Titanium x 30 Zero Wire x 30,Rank 1,Logistics Robot Power Management Robot,Robots 1
Robots 3,Positron Battery x 8 Zero Wire x 30 Austenitic Manifold x 8 Titanium x 30 Chlorosinales x 30 Cobalt x 30 Polymer x 20,,,,Robots 3,Positron Battery x 8 Zero Wire x 30 Austenitic Manifold x 8 Titanium x 30 Chlorosinales x 30 Cobalt x 30 Polymer x 20,,,,Robots 3,Positron Battery x 8 Zero Wire x 30 Austenitic Manifold x 8 Titanium x 30 Chlorosinales x 30 Cobalt x 30 Polymer x 20,,,,Robots 3,Positron Battery x 8 Zero Wire x 30 Austenitic Manifold x 8 Titanium x 30 Chlorosinales x 30 Cobalt x 30 Polymer x 20,,,,Robots 3,Positron Battery x 8 Zero Wire x 30 Austenitic Manifold x 8 Titanium x 30 Chlorosinales x 30 Cobalt x 30 Polymer x 20,,,
Outpost Defense 1,Aluminum x 30 Copper x 5 Fluorine x 5 Positron Battery x 3 Titanium x 10 Zero Wire x 8,Rank 2,Security Mini bot Turret Mk II,None,Outpost Defense 1,Aluminum x 30 Copper x 5 Fluorine x 5 Positron Battery x 3 Titanium x 10 Zero Wire x 8,Rank 2,Security Mini bot Turret Mk II,None,Outpost Defense 1,Aluminum x 30 Copper x 5 Fluorine x 5 Positron Battery x 3 Titanium x 10 Zero Wire x 8,Rank 2,Security Mini bot Turret Mk II,None,Outpost Defense 1,Aluminum x 30 Copper x 5 Fluorine x 5 Positron Battery x 3 Titanium x 10 Zero Wire x 8,Rank 2,Security Mini bot Turret Mk II,None,Outpost Defense 1,Aluminum x 30 Copper x 5 Fluorine x 5 Positron Battery x 3 Titanium x 10 Zero Wire x 8,Rank 2,Security Mini bot Turret Mk II,None
Outpost Defense 2,Positron Battery x 3 Veryl-Treated Manifold x 1 Power Circuit x 1 Titanium x 12 Aluminum x 16 Copper x 4 Neon x 4,,,Outpost Defense 1 Robots 2,Outpost Defense 2,Positron Battery x 3 Veryl-Treated Manifold x 1 Power Circuit x 1 Titanium x 12 Aluminum x 16 Copper x 4 Neon x 4,,,Outpost Defense 1 Robots 2,Outpost Defense 2,Positron Battery x 3 Veryl-Treated Manifold x 1 Power Circuit x 1 Titanium x 12 Aluminum x 16 Copper x 4 Neon x 4,,,Outpost Defense 1 Robots 2,Outpost Defense 2,Positron Battery x 3 Veryl-Treated Manifold x 1 Power Circuit x 1 Titanium x 12 Aluminum x 16 Copper x 4 Neon x 4,,,Outpost Defense 1 Robots 2,Outpost Defense 2,Positron Battery x 3 Veryl-Treated Manifold x 1 Power Circuit x 1 Titanium x 12 Aluminum x 16 Copper x 4 Neon x 4,,,Outpost Defense 1 Robots 2
,,,,,,,,,,,,,,,,,,,,,,,,
Helmet Mods 1,Cosmetic x 2 Polymer x 3 Tungsten x 3,None,Helmet Mods,None,Helmet Mods 1,Cosmetic x 2 Polymer x 3 Tungsten x 3,None,Helmet Mods,None,Helmet Mods 1,Cosmetic x 2 Polymer x 3 Tungsten x 3,None,Helmet Mods,None,Helmet Mods 1,Cosmetic x 2 Polymer x 3 Tungsten x 3,None,Helmet Mods,None,Helmet Mods 1,Cosmetic x 2 Polymer x 3 Tungsten x 3,None,Helmet Mods,None
Helmet Mods 2,Adhesive x 10 Positron Battery x 5 Sterile Nanotubes x 5 Titanium x 10 Zero Wire x 8,Rank 1,Improved,Helmet Mods 1,Helmet Mods 2,Adhesive x 10 Positron Battery x 5 Sterile Nanotubes x 5 Titanium x 10 Zero Wire x 8,Rank 1,Improved,Helmet Mods 1,Helmet Mods 2,Adhesive x 10 Positron Battery x 5 Sterile Nanotubes x 5 Titanium x 10 Zero Wire x 8,Rank 1,Improved,Helmet Mods 1,Helmet Mods 2,Adhesive x 10 Positron Battery x 5 Sterile Nanotubes x 5 Titanium x 10 Zero Wire x 8,Rank 1,Improved,Helmet Mods 1,Helmet Mods 2,Adhesive x 10 Positron Battery x 5 Sterile Nanotubes x 5 Titanium x 10 Zero Wire x 8,Rank 1,Improved,Helmet Mods 1
Helmet Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 High-Tensile Spidroin x 8 Caelumite x 10 Tungsten x 30 Polymer x 10,,Improved,Helmet Mods 2,Helmet Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 High-Tensile Spidroin x 8 Caelumite x 10 Tungsten x 30 Polymer x 10,,Improved,Helmet Mods 2,Helmet Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 High-Tensile Spidroin x 8 Caelumite x 10 Tungsten x 30 Polymer x 10,,Improved,Helmet Mods 2,Helmet Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 High-Tensile Spidroin x 8 Caelumite x 10 Tungsten x 30 Polymer x 10,,Improved,Helmet Mods 2,Helmet Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 High-Tensile Spidroin x 8 Caelumite x 10 Tungsten x 30 Polymer x 10,,Improved,Helmet Mods 2
Pack Mods 1,Aluminum x 10 Beryllium x 10 Mag Pressure Tank x 8 Monopropellant x 5,Rank 1,Improved,None,Pack Mods 1,Aluminum x 10 Beryllium x 10 Mag Pressure Tank x 8 Monopropellant x 5,Rank 1,Improved,None,Pack Mods 1,Aluminum x 10 Beryllium x 10 Mag Pressure Tank x 8 Monopropellant x 5,Rank 1,Improved,None,Pack Mods 1,Aluminum x 10 Beryllium x 10 Mag Pressure Tank x 8 Monopropellant x 5,Rank 1,Improved,None,Pack Mods 1,Aluminum x 10 Beryllium x 10 Mag Pressure Tank x 8 Monopropellant x 5,Rank 1,Improved,None
Pack Mods 2,Beryllium x 10 Monopropellant x 10 Polymer x 8 Sealant x 10 Zero-G Gimbal x 5,Rank 2,Superior,Pack Mods 1,Pack Mods 2,Beryllium x 10 Monopropellant x 10 Polymer x 8 Sealant x 10 Zero-G Gimbal x 5,Rank 2,Superior,Pack Mods 1,Pack Mods 2,Beryllium x 10 Monopropellant x 10 Polymer x 8 Sealant x 10 Zero-G Gimbal x 5,Rank 2,Superior,Pack Mods 1,Pack Mods 2,Beryllium x 10 Monopropellant x 10 Polymer x 8 Sealant x 10 Zero-G Gimbal x 5,Rank 2,Superior,Pack Mods 1,Pack Mods 2,Beryllium x 10 Monopropellant x 10 Polymer x 8 Sealant x 10 Zero-G Gimbal x 5,Rank 2,Superior,Pack Mods 1
Pack Mods 3,Zero-G Gimbal x 10 Monopropellant x 20 Tau Grade Rheostat x 10 Beryllium x 20 Biosuppressant x 10 Amino Acids x 20,Rank 3,,Pack Mods 2,Pack Mods 3,Zero-G Gimbal x 10 Monopropellant x 20 Tau Grade Rheostat x 10 Beryllium x 20 Biosuppressant x 10 Amino Acids x 20,Rank 3,,Pack Mods 2,Pack Mods 3,Zero-G Gimbal x 10 Monopropellant x 20 Tau Grade Rheostat x 10 Beryllium x 20 Biosuppressant x 10 Amino Acids x 20,Rank 3,,Pack Mods 2,Pack Mods 3,Zero-G Gimbal x 10 Monopropellant x 20 Tau Grade Rheostat x 10 Beryllium x 20 Biosuppressant x 10 Amino Acids x 20,Rank 3,,Pack Mods 2,Pack Mods 3,Zero-G Gimbal x 10 Monopropellant x 20 Tau Grade Rheostat x 10 Beryllium x 20 Biosuppressant x 10 Amino Acids x 20,Rank 3,,Pack Mods 2
Spacesuit Mods 1,Copper x 5 Cosmetic x 5 Polytextile x 8,Rank 1,Improved,None,Spacesuit Mods 1,Copper x 5 Cosmetic x 5 Polytextile x 8,Rank 1,Improved,None,Spacesuit Mods 1,Copper x 5 Cosmetic x 5 Polytextile x 8,Rank 1,Improved,None,Spacesuit Mods 1,Copper x 5 Cosmetic x 5 Polytextile x 8,Rank 1,Improved,None,Spacesuit Mods 1,Copper x 5 Cosmetic x 5 Polytextile x 8,Rank 1,Improved,None
Spacesuit Mods 2,Adhesive x 10 Polytextile x 10 Positron Battery x 5 Semimetal Wafer x 5 Titanium x 10,Rank 2,Superior,Spacesuit Mods 1,Spacesuit Mods 2,Adhesive x 10 Polytextile x 10 Positron Battery x 5 Semimetal Wafer x 5 Titanium x 10,Rank 2,Superior,Spacesuit Mods 1,Spacesuit Mods 2,Adhesive x 10 Polytextile x 10 Positron Battery x 5 Semimetal Wafer x 5 Titanium x 10,Rank 2,Superior,Spacesuit Mods 1,Spacesuit Mods 2,Adhesive x 10 Polytextile x 10 Positron Battery x 5 Semimetal Wafer x 5 Titanium x 10,Rank 2,Superior,Spacesuit Mods 1,Spacesuit Mods 2,Adhesive x 10 Polytextile x 10 Positron Battery x 5 Semimetal Wafer x 5 Titanium x 10,Rank 2,Superior,Spacesuit Mods 1
Spacesuit Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 Positron Battery x 8 Caelumite x 10 Tungsten x 30 Lubricant x 20,,Superior,Spacesuit Mods 2,Spacesuit Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 Positron Battery x 8 Caelumite x 10 Tungsten x 30 Lubricant x 20,,Superior,Spacesuit Mods 2,Spacesuit Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 Positron Battery x 8 Caelumite x 10 Tungsten x 30 Lubricant x 20,,Superior,Spacesuit Mods 2,Spacesuit Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 Positron Battery x 8 Caelumite x 10 Tungsten x 30 Lubricant x 20,,Superior,Spacesuit Mods 2,Spacesuit Mods 3,Microsecond Regulator x 8 Indicite Wafer x 5 Positron Battery x 8 Caelumite x 10 Tungsten x 30 Lubricant x 20,,Superior,Spacesuit Mods 2
,,,,,,,,,,,,,,,,,,,,,,,,
Barrel Mods 1,Iron x 3 Nickel x 3 Sealant x 2,None,Barrel,None,Barrel Mods 1,Iron x 3 Nickel x 3 Sealant x 2,None,Barrel,None,Barrel Mods 1,Iron x 3 Nickel x 3 Sealant x 2,None,Barrel,None,Barrel Mods 1,Iron x 3 Nickel x 3 Sealant x 2,None,Barrel,None,Barrel Mods 1,Iron x 3 Nickel x 3 Sealant x 2,None,Barrel,None
Barrel Mods 2,Lubricant x 5 Nickel x 10 Tungsten x 5,Rank 1,ImprovedBarrel,Barrel Mods 1,Barrel Mods 2,Lubricant x 5 Nickel x 10 Tungsten x 5,Rank 1,ImprovedBarrel,Barrel Mods 1,Barrel Mods 2,Lubricant x 5 Nickel x 10 Tungsten x 5,Rank 1,ImprovedBarrel,Barrel Mods 1,Barrel Mods 2,Lubricant x 5 Nickel x 10 Tungsten x 5,Rank 1,ImprovedBarrel,Barrel Mods 1,Barrel Mods 2,Lubricant x 5 Nickel x 10 Tungsten x 5,Rank 1,ImprovedBarrel,Barrel Mods 1
Grip and Stock Mods 1,Aluminum x 3 Nickel x 3 Sealant x 3,None,Grip and Stock,None,Grip and Stock Mods 1,Aluminum x 3 Nickel x 3 Sealant x 3,None,Grip and Stock,None,Grip and Stock Mods 1,Aluminum x 3 Nickel x 3 Sealant x 3,None,Grip and Stock,None,Grip and Stock Mods 1,Aluminum x 3 Nickel x 3 Sealant x 3,None,Grip and Stock,None,Grip and Stock Mods 1,Aluminum x 3 Nickel x 3 Sealant x 3,None,Grip and Stock,None
Grip and Stock Mods 2,Adhesive x 10 Polymer x 5 Tungsten x 8,Rank 1,ImprovedGrip and Stock,Grip and Stock Mods 1,Grip and Stock Mods 2,Adhesive x 10 Polymer x 5 Tungsten x 8,Rank 1,ImprovedGrip and Stock,Grip and Stock Mods 1,Grip and Stock Mods 2,Adhesive x 10 Polymer x 5 Tungsten x 8,Rank 1,ImprovedGrip and Stock,Grip and Stock Mods 1,Grip and Stock Mods 2,Adhesive x 10 Polymer x 5 Tungsten x 8,Rank 1,ImprovedGrip and Stock,Grip and Stock Mods 1,Grip and Stock Mods 2,Adhesive x 10 Polymer x 5 Tungsten x 8,Rank 1,ImprovedGrip and Stock,Grip and Stock Mods 1
Grip and Stock Mods 3,Titanium x 4 Polymer x 4 Adhesive x 8,Rank 2,Improved Grip and Stock,Grip and Stock Mods 2,Grip and Stock Mods 3,Titanium x 4 Polymer x 4 Adhesive x 8,Rank 2,Improved Grip and Stock,Grip and Stock Mods 2,Grip and Stock Mods 3,Titanium x 4 Polymer x 4 Adhesive x 8,Rank 2,Improved Grip and Stock,Grip and Stock Mods 2,Grip and Stock Mods 3,Titanium x 4 Polymer x 4 Adhesive x 8,Rank 2,Improved Grip and Stock,Grip and Stock Mods 2,Grip and Stock Mods 3,Titanium x 4 Polymer x 4 Adhesive x 8,Rank 2,Improved Grip and Stock,Grip and Stock Mods 2
Internal Mods 1,Iridium x 8 Sealant x 10 Tungsten x 10 Zero Wire x 5,Rank 2,Superior Internal,None,Internal Mods 1,Iridium x 8 Sealant x 10 Tungsten x 10 Zero Wire x 5,Rank 2,Superior Internal,None,Internal Mods 1,Iridium x 8 Sealant x 10 Tungsten x 10 Zero Wire x 5,Rank 2,Superior Internal,None,Internal Mods 1,Iridium x 8 Sealant x 10 Tungsten x 10 Zero Wire x 5,Rank 2,Superior Internal,None,Internal Mods 1,Iridium x 8 Sealant x 10 Tungsten x 10 Zero Wire x 5,Rank 2,Superior Internal,None
Internal Mods 2,Isocentered Magnet x 3 Zero Wire x 3 Tantalum x 4 Titanium x 4 Adhesive x 4,Rank 3,Superior Internal,Internal Mods 1,Internal Mods 2,Isocentered Magnet x 3 Zero Wire x 3 Tantalum x 4 Titanium x 4 Adhesive x 4,Rank 3,Superior Internal,Internal Mods 1,Internal Mods 2,Isocentered Magnet x 3 Zero Wire x 3 Tantalum x 4 Titanium x 4 Adhesive x 4,Rank 3,Superior Internal,Internal Mods 1,Internal Mods 2,Isocentered Magnet x 3 Zero Wire x 3 Tantalum x 4 Titanium x 4 Adhesive x 4,Rank 3,Superior Internal,Internal Mods 1,Internal Mods 2,Isocentered Magnet x 3 Zero Wire x 3 Tantalum x 4 Titanium x 4 Adhesive x 4,Rank 3,Superior Internal,Internal Mods 1
Internal Mods 3,Power Circuit x 1 Zero Wire x 4 Europium x 8 Ytterbium x 4 Polymer x 4,Rank 4,Superior Internal,Internal Mods 2,Internal Mods 3,Power Circuit x 1 Zero Wire x 4 Europium x 8 Ytterbium x 4 Polymer x 4,Rank 4,Superior Internal,Internal Mods 2,Internal Mods 3,Power Circuit x 1 Zero Wire x 4 Europium x 8 Ytterbium x 4 Polymer x 4,Rank 4,Superior Internal,Internal Mods 2,Internal Mods 3,Power Circuit x 1 Zero Wire x 4 Europium x 8 Ytterbium x 4 Polymer x 4,Rank 4,Superior Internal,Internal Mods 2,Internal Mods 3,Power Circuit x 1 Zero Wire x 4 Europium x 8 Ytterbium x 4 Polymer x 4,Rank 4,Superior Internal,Internal Mods 2
Magazine and Battery Mods 1,Adhesive x 5 Lead x 8 Titanium x 5,Rank 2,Superior Magazine and Battery,None,Magazine and Battery Mods 1,Adhesive x 5 Lead x 8 Titanium x 5,Rank 2,Superior Magazine and Battery,None,Magazine and Battery Mods 1,Adhesive x 5 Lead x 8 Titanium x 5,Rank 2,Superior Magazine and Battery,None,Magazine and Battery Mods 1,Adhesive x 5 Lead x 8 Titanium x 5,Rank 2,Superior Magazine and Battery,None,Magazine and Battery Mods 1,Adhesive x 5 Lead x 8 Titanium x 5,Rank 2,Superior Magazine and Battery,None
Magazine and Battery Mods 2,Isocentered Magnet x 3 Tau Grade Rheostat x 3 Uranium x 4 Lead x 8 Adhesive x 4,,Superior Magazine and Battery,Magazine and Battery Mods 1,Magazine and Battery Mods 2,Isocentered Magnet x 3 Tau Grade Rheostat x 3 Uranium x 4 Lead x 8 Adhesive x 4,,Superior Magazine and Battery,Magazine and Battery Mods 1,Magazine and Battery Mods 2,Isocentered Magnet x 3 Tau Grade Rheostat x 3 Uranium x 4 Lead x 8 Adhesive x 4,,Superior Magazine and Battery,Magazine and Battery Mods 1,Magazine and Battery Mods 2,Isocentered Magnet x 3 Tau Grade Rheostat x 3 Uranium x 4 Lead x 8 Adhesive x 4,,Superior Magazine and Battery,Magazine and Battery Mods 1,Magazine and Battery Mods 2,Isocentered Magnet x 3 Tau Grade Rheostat x 3 Uranium x 4 Lead x 8 Adhesive x 4,,Superior Magazine and Battery,Magazine and Battery Mods 1
